,ds,yhat,yhat_lower,yhat_upper
2025-04-09,2025-04-09,94119.54111089087,68806.13325737766,119432.94896440409
2025-04-10,2025-04-10,94332.92826631232,68871.8010143202,119794.05551830443
2025-04-11,2025-04-11,94644.94661568338,69038.5424986794,120251.35073268737
2025-04-12,2025-04-12,94498.98975592948,68751.63741235968,120246.34209949928
2025-04-13,2025-04-13,94160.97211403174,68272.6403221361,120049.30390592739
2025-04-14,2025-04-14,94234.68690451406,68202.52344115994,120266.85036786819
2025-04-15,2025-04-15,94583.42947052562,68408.27843095796,120758.58051009328
2025-04-16,2025-04-16,94583.33033833942,68269.49386480536,120897.16681187348
2025-04-17,2025-04-17,94239.04120566353,67787.9291928914,120690.15321843565
2025-04-18,2025-04-18,94167.79339077864,67576.81658162008,120758.7701999372
2025-04-19,2025-04-19,94492.47416481728,67761.00436030727,121223.94396932729
2025-04-20,2025-04-20,94630.39639622506,67762.12642927261,121498.6663631775
2025-04-21,2025-04-21,94338.63315356092,67336.17083228979,121341.09547483205
2025-04-22,2025-04-22,94141.95569006469,67003.50004988992,121280.41133023945
2025-04-23,2025-04-23,94388.95551951438,67112.77399360092,121665.13704542784
2025-04-24,2025-04-24,94634.27115577966,67222.99469147157,122045.54762008775
2025-04-25,2025-04-25,94441.65352793354,66898.67323438017,121984.6338214869
2025-04-26,2025-04-26,94159.4891536401,66484.12519973761,121834.85310754259
2025-04-27,2025-04-27,94290.98209457676,66480.90943511174,122101.05475404178
2025-04-28,2025-04-28,94596.6164149612,66653.16317325937,122540.06965666304
2025-04-29,2025-04-29,94530.459427412,66457.28037952626,122603.63847529775
2025-04-30,2025-04-30,94215.14214833354,66012.7976737794,122417.48662288769
2025-05-01,2025-05-01,94214.87872838795,65880.99965409108,122548.75780268482
2025-05-02,2025-05-02,94525.94387081933,66060.55454357676,122991.33319806191
2025-05-03,2025-05-03,94590.81193118125,65997.29886046775,123184.32500189474
2025-05-04,2025-05-04,94297.44255933484,65577.5101815922,123017.37493707749
2025-05-05,2025-05-05,94172.42290559491,65324.15455910741,123020.69125208241
2025-05-06,2025-05-06,94435.92311019482,65458.25184365554,123413.59437673411
2025-05-07,2025-05-07,94614.00148866666,65509.59727308311,123718.40570425021
2025-05-08,2025-05-08,94391.05696671683,65162.485449295375,123619.62848413829
2025-05-09,2025-05-09,94169.02517274687,64815.196080971175,123522.85426452257
2025-05-10,2025-05-10,94342.83016620445,64861.95401159371,123823.7063208152
2025-05-11,2025-05-11,94598.02899611212,64991.76443458175,124204.29355764248
2025-05-12,2025-05-12,94479.56653304936,64750.93265146774,124208.20041463099
2025-05-13,2025-05-13,94203.18896221078,64352.1226233569,124054.25530106467
2025-05-14,2025-05-14,94262.60335115105,64287.044342901005,124238.16235940109
2025-05-15,2025-05-15,94547.64518575181,64448.13492986798,124647.15544163564
2025-05-16,2025-05-16,94548.25659491152,64327.81366762108,124768.69952220196
2025-05-17,2025-05-17,94267.16219504106,63926.760061322406,124607.56432875972
2025-05-18,2025-05-18,94208.14149803443,63745.90250331788,124670.38049275098
2025-05-19,2025-05-19,94473.19790639577,63888.63210658096,125057.76370621058
2025-05-20,2025-05-20,94586.52606328971,63882.229339100726,125290.8227874787
