ds,Open,High,Low,y,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,High_Low_Diff,Open_Close_Diff,Average_Price,Volume_Weighted_Price,Triple_Multiplicative_ETS,Triple_Additive_ETS,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-02-05,23327.66,23433.33,22743.0,22932.91,209251.33917,1675641599999,4842463016.833934,5903916,103885.22312,2404286621.1203337,690.3300000000017,394.75,23036.413333333334,23141.84958644312,23291.56253424671,23050.077621953616,22152.603715450372,15419.714596150357,31614.66915494353,22152.603715450372,22152.603715450372,1321.7068847189155,1321.7068847189155,1321.7068847189155,1394.4657377624,1394.4657377624,1394.4657377624,-72.7588530434846,-72.7588530434846,-72.7588530434846,0.0,0.0,0.0,23474.310600169287
2023-02-06,22932.91,23158.25,22628.13,22762.52,265371.6069,1675727999999,6076050768.117038,6956395,132350.52989,3030470974.62453,530.119999999999,170.38999999999942,22849.633333333335,22896.386087026545,22857.970521957333,22657.014412309418,22203.47453423753,14992.79746995989,31810.29439884734,22203.47453423753,22203.47453423753,1506.231216798783,1506.231216798783,1506.231216798783,1394.4657377624,1394.4657377624,1394.4657377624,111.7654790363829,111.7654790363829,111.7654790363829,0.0,0.0,0.0,23709.705751036316
2023-02-07,22762.52,23350.25,22745.78,23240.46,308006.72482,1675814399999,7085929136.456849,8293878,154613.24744,3557209786.5153685,604.4700000000012,-477.9399999999987,23112.16333333333,23005.761126150366,22837.039702563998,22992.463389305267,22254.34535302469,15761.020750105752,31965.897894199432,22254.34535302469,22254.34535302469,1379.9552813472985,1379.9552813472985,1379.9552813472985,1394.4657377624,1394.4657377624,1394.4657377624,-14.510456415101576,-14.510456415101576,-14.510456415101576,0.0,0.0,0.0,23634.30063437199
2023-02-08,23242.42,23452.0,22665.85,22963.0,280056.30717,1675900799999,6457585647.820655,7896433,138627.72636,3196783919.6301227,786.1500000000015,279.41999999999825,23026.95,23058.16895564779,23245.74708502485,23134.461383662525,22305.216169774885,16267.778329955308,31724.342734136226,22305.216169774885,22305.216169774885,1535.3739379361173,1535.3739379361173,1535.3739379361173,1394.4657377624,1394.4657377624,1394.4657377624,140.90820017371738,140.90820017371738,140.90820017371738,0.0,0.0,0.0,23840.590107711003
2023-02-09,22961.85,23011.39,21688.0,21796.35,402894.6955,1675987199999,9052973327.197165,9784291,199309.68374,4478800426.302857,1323.3899999999994,1165.5,22165.246666666662,22469.82506424477,23001.214368269044,23080.452148940934,22356.086986525082,16214.86853711865,31707.218506590438,22356.086986525082,22356.086986525082,1318.6778203837007,1318.6778203837007,1318.6778203837007,1394.4657377624,1394.4657377624,1394.4657377624,-75.7879173786993,-75.7879173786993,-75.7879173786993,0.0,0.0,0.0,23674.764806908785
2023-02-10,21797.83,21938.16,21451.0,21625.19,338591.94247,1676073599999,7369456394.906654,6993675,167419.66937,3644087094.706669,487.15999999999985,172.64000000000306,21671.45,21765.008172217815,21186.611021765366,20204.560273095565,22406.957803275272,15178.254583738775,31717.491419016456,22406.957803275272,22406.957803275272,1404.4613993027256,1404.4613993027256,1404.4613993027256,1394.4657377624,1394.4657377624,1394.4657377624,9.99566154032559,9.99566154032559,9.99566154032559,0.0,0.0,0.0,23811.419202578
2023-02-11,21625.19,21906.32,21599.78,21862.55,177021.58433,1676159999999,3842000897.79758,4207940,87937.9597,1908638569.7798104,306.5400000000009,-237.36000000000058,21789.55,21703.57311137494,21705.623064354266,21821.816805659877,22457.828620025466,15818.414712957223,32959.663649992566,22457.828620025466,22457.828620025466,1294.8536238504478,1294.8536238504478,1294.8536238504478,1394.4657377624,1394.4657377624,1394.4657377624,-99.61211391195236,-99.61211391195236,-99.61211391195236,0.0,0.0,0.0,23752.682243875915
2023-02-12,21862.02,22090.0,21630.0,21783.54,204435.65163,1676246399999,4469822441.4372015,4561903,101194.34699,2212545781.0931144,460.0,78.47999999999956,21834.513333333332,21864.202284672716,21885.517087655913,22042.9786547676,22508.699436775663,15979.564268098966,31491.09689657431,22508.699436775663,22508.699436775663,1321.7068847184823,1321.7068847184823,1321.7068847184823,1394.4657377624,1394.4657377624,1394.4657377624,-72.75885304391774,-72.75885304391774,-72.75885304391774,0.0,0.0,0.0,23830.406321494145
2023-02-13,21782.37,21894.99,21351.07,21773.97,295730.76791,1676332799999,6404813758.2696295,6503611,147221.38569,3188732830.1994424,543.9200000000019,8.399999999997817,21673.343333333334,21657.583360480137,21920.490113724558,22050.952549073336,22559.570253525853,15327.815970146303,32129.880034643767,22559.570253525853,22559.570253525853,1506.2312167989526,1506.2312167989526,1506.2312167989526,1394.4657377624,1394.4657377624,1394.4657377624,111.76547903655268,111.76547903655268,111.76547903655268,0.0,0.0,0.0,24065.801470324805
2023-02-14,21774.63,22319.08,21532.77,22199.84,361958.40109,1676419199999,7938385476.792084,7695927,182006.71562,3991901041.9023824,786.3100000000013,-425.2099999999991,22017.23,21931.761917630487,21919.47754484894,21866.02873060664,22610.441070276047,15903.324132993379,32301.09798029131,22610.441070276047,22610.441070276047,1379.9552813467258,1379.9552813467258,1379.9552813467258,1394.4657377624,1394.4657377624,1394.4657377624,-14.510456415674385,-14.510456415674385,-14.510456415674385,0.0,0.0,0.0,23990.396351622774
